,,,"Brant, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","              Sindhi",,      15,,      10,,      10,,    6840,,    3225,,    3615,
"Mother tongue","              Sinhala (Sinhalese)",,      10,,      10,,       5,,   10165,,    4925,,    5235,
"Mother tongue","              Urdu",,     295,,     155,,     140,,  152385,,   76795,,   75595,
"Mother tongue","            Iranian languages",,      90,,      45,,      45,,  139675,,   70270,,   69405,
"Mother tongue","              Kurdish",,       0,,       0,,       5,,    6665,,    3615,,    3050,
"Mother tongue","              Pashto",,       0,,       5,,       0,,   10950,,    5630,,    5315,
"Mother tongue","              Persian (Farsi)",,      85,,      45,,      40,,  122070,,   61025,,   61040,
"Mother tongue","            Indo-Iranian languages; n.i.e.",,       5,,       0,,       0,,    2565,,    1350,,    1215,
"Mother tongue","          Italic (Romance) languages",,    2885,,    1425,,    1465,,  614525,,  295030,,  319490,
"Mother tongue","            Catalan",,       0,,       0,,       0,,     285,,     150,,     135,
"Mother tongue","            Italian",,    1310,,     650,,     660,,  231040,,  112440,,  118600,
"Mother tongue","            Portuguese",,     830,,     410,,     425,,  150000,,   72280,,   77715,
"Mother tongue","            Romanian",,     150,,      70,,      75,,   41755,,   19565,,   22190,
"Mother tongue","            Spanish",,     595,,     295,,     295,,  191025,,   90390,,  100630,
"Mother tongue","            Italic (Romance) languages; n.i.e.",,       0,,       0,,       0,,     420,,     200,,     215,
"Mother tongue","        Japanese",,      50,,      20,,      35,,   13260,,    4590,,    8670,
"Mother tongue","        Kartvelian languages",,       0,,       0,,       0,,    1200,,     635,,     565,
"Mother tongue","          Georgian",,       0,,       0,,       0,,    1200,,     635,,     565,
"Mother tongue","        Korean",,     195,,      85,,     110,,   69775,,   32035,,   37740,
"Mother tongue","        Mongolic languages",,       0,,       0,,       0,,     405,,     180,,     220,
"Mother tongue","          Mongolian",,       0,,       0,,       0,,     405,,     180,,     225,
"Mother tongue","        Niger-Congo languages",,      70,,      30,,      35,,   35760,,   16705,,   19050,
"Mother tongue","          Akan (Twi)",,      30,,      10,,      15,,    9695,,    4510,,    5190,
"Mother tongue","          Bamanankan",,       0,,       0,,       0,,     140,,      60,,      80,
"Mother tongue","          Edo",,       0,,       0,,       0,,    1140,,     475,,     670,
"Mother tongue","          Ewe",,       0,,       0,,       5,,     560,,     270,,     295,
"Mother tongue","          Fulah (Pular; Pulaar; Fulfulde)",,       0,,       0,,       0,,     365,,     180,,     185,
"Mother tongue","          Ga",,       5,,       0,,       0,,     600,,     275,,     325,
"Mother tongue","          Ganda",,       0,,       0,,       0,,     760,,     360,,     400,
"Mother tongue","          Igbo",,       0,,       0,,       0,,    2090,,    1080,,    1010,
"Mother tongue","          Lingala",,       5,,       5,,       0,,     850,,     365,,     485,
"Mother tongue","          Rundi (Kirundi)",,       0,,       0,,       0,,    1430,,     640,,     785,
"Mother tongue","          Kinyarwanda (Rwanda)",,       5,,       0,,       0,,    1330,,     545,,     785,
"Mother tongue","          Shona",,      20,,      10,,      15,,    1455,,     660,,     790,
"Mother tongue","          Swahili",,       0,,       0,,       0,,    5525,,    2540,,    2985,
"Mother tongue","          Wolof",,       0,,       0,,       0,,     290,,     145,,     150,
"Mother tongue","          Yoruba",,       5,,       5,,       5,,    4365,,    2260,,    2105,
"Mother tongue","          Niger-Congo languages; n.i.e.",,       5,,       0,,       5,,    5155,,    2345,,    2810,
"Mother tongue","        Nilo-Saharan languages",,       0,,       0,,       0,,    1610,,     810,,     800,
"Mother tongue","          Dinka",,       0,,       0,,       0,,     345,,     170,,     175,
"Mother tongue","          Nilo-Saharan languages; n.i.e.",,       5,,       0,,       0,,    1260,,     635,,     625,
"Mother tongue","        Sign languages",,      40,,      25,,      15,,    3030,,    1570,,    1455,
"Mother tongue","          American Sign Language",,      10,,       5,,      10,,    1305,,     640,,     670,
"Mother tongue","          Quebec Sign Language",,       0,,       0,,       0,,      20,,      10,,      15,
"Mother tongue","          Sign languages; n.i.e",,      25,,      20,,      10,,    1700,,     925,,     780,
"Mother tongue","        Sino-Tibetan languages",,     605,,     290,,     320,,  611795,,  284865,,  326935,
"Mother tongue","          Chinese languages",,     600,,     285,,     315,,  602610,,  280340,,  322270,
"Mother tongue","            Cantonese",,     215,,     105,,     110,,  275315,,  128090,,  147220,
"Mother tongue","            Hakka",,       0,,       0,,       0,,    6985,,    3140,,    3840,
"Mother tongue","            Mandarin",,     325,,     155,,     175,,  283735,,  132275,,  151460,
"Mother tongue","            Min Dong",,       0,,       0,,       0,,     855,,     405,,     450,
"Mother tongue","            Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,      10,,       5,,       0,,   13545,,    6240,,    7300,
"Mother tongue","            Wu (Shanghainese)",,       5,,       0,,       5,,    6300,,    2825,,    3470,
"Mother tongue","            Chinese; n.o.s.",,      45,,      25,,      25,,   15645,,    7235,,    8410,
"Mother tongue","            Chinese languages; n.i.e.",,       0,,       0,,       0,,     240,,     120,,     120,
"Mother tongue","          Tibeto-Burman languages",,      10,,       0,,       5,,    9185,,    4520,,    4660,
"Mother tongue","            Burmese",,       5,,       5,,       0,,    1640,,     775,,     865,
"Mother tongue","            Karenic languages",,       0,,       0,,       0,,    1730,,     865,,     860,
"Mother tongue","            Tibetan",,       0,,       0,,       0,,    5115,,    2530,,    2585,
"Mother tongue","            Tibeto-Burman languages; n.i.e.",,       0,,       0,,       0,,     700,,     345,,     350,
"Mother tongue","        Tai-Kadai languages",,      70,,      30,,      35,,    8485,,    3535,,    4945,
"Mother tongue","          Lao",,      55,,      25,,      30,,    5190,,    2480,,    2710,
"Mother tongue","          Thai",,      10,,       5,,       5,,    3270,,    1045,,    2220,
"Mother tongue","          Tai-Kadai languages; n.i.e",,       0,,       0,,       0,,      25,,      10,,      15,
"Mother tongue","        Turkic languages",,      20,,      15,,       5,,   22615,,   11745,,   10870,
"Mother tongue","          Azerbaijani",,       0,,       0,,       0,,    1990,,    1070,,     920,
"Mother tongue","          Turkish",,      15,,      10,,       0,,   18415,,    9610,,    8810,
"Mother tongue","          Uyghur",,       0,,       0,,       0,,     515,,     255,,     260,
"Mother tongue","          Uzbek",,       5,,       5,,       5,,    1055,,     515,,     545,
"Mother tongue","          Turkic languages; n.i.e.",,       0,,       0,,       0,,     640,,     295,,     345,
"Mother tongue","        Uralic languages",,     645,,     315,,     330,,   50670,,   23095,,   27570,
"Mother tongue","          Estonian",,      20,,      10,,      10,,    4205,,    1810,,    2400,
"Mother tongue","          Finnish",,      25,,      10,,      15,,    9720,,    4140,,    5580,
"Mother tongue","          Hungarian",,     600,,     295,,     300,,   36740,,   17150,,   19590,
"Mother tongue","          Uralic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Other languages; n.i.e.",,       0,,       0,,       0,,    1475,,     780,,     690,
"Mother tongue","  Multiple responses",,    1410,,     655,,     755,,  365910,,  176250,,  189660,
"Mother tongue","    English and French",,     225,,     100,,     125,,   54045,,   25165,,   28880,
"Mother tongue","    English and non-official language",,    1120,,     525,,     595,,  288285,,  140345,,  147940,
"Mother tongue","    French and non-official language",,      30,,      10,,      20,,   12565,,    5735,,    6830,
"Mother tongue","    English; French and non-official language",,      35,,      20,,      15,,   11010,,    5000,,    6005,
"Language spoken most often at home","Total - Language spoken most often at home for the total population excluding institutional residents - 100% data",19,  133350,,   65140,,   68210,,13312865,, 6503875,, 6808990,
"Language spoken most often at home","  Single responses",,  130765,,   63905,,   66855,,12522045,, 6123955,, 6398085,
"Language spoken most often at home","    Official languages",,  125460,,   61395,,   64070,,10605725,, 5214425,, 5391300,
"Language spoken most often at home","      English",,  125165,,   61255,,   63910,,10328680,, 5084885,, 5243800,
"Language spoken most often at home","      French",,     295,,     135,,     160,,  277045,,  129540,,  147500,
"Language spoken most often at home","    Non-official languages",,    5305,,    2515,,    2790,, 1916315,,  909530,, 1006780,
"Language spoken most often at home","      Aboriginal languages",,      15,,      10,,      10,,    9210,,    4600,,    4610,
"Language spoken most often at home","        Algonquian languages",,      10,,       5,,      10,,    8685,,    4370,,    4320,
"Language spoken most often at home","          Blackfoot",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Cree-Montagnais languages",,       0,,       0,,       0,,    2370,,    1205,,    1165,
"Language spoken most often at home","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Montagnais (Innu)",,       0,,       0,,       0,,       5,,       5,,       5,
"Language spoken most often at home","            Moose Cree",,       0,,       0,,       0,,      10,,      10,,       5,
"Language spoken most often at home","            Naskapi",,       0,,       0,,       0,,      10,,       5,,       5,
"Language spoken most often at home","            Northern East Cree",,       0,,       0,,       0,,      20,,      10,,      15,
"Language spoken most often at home","            Plains Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Swampy Cree",,       0,,       0,,       0,,     105,,      50,,      55,
"Language spoken most often at home","            Woods Cree",,       0,,       0,,       0,,       5,,       5,,       0,
"Language spoken most often at home","            Cree; n.o.s.",,       0,,       0,,       0,,    2220,,    1135,,    1085,
"Language spoken most often at home","          Eastern Algonquian languages",,       0,,       0,,       0,,       5,,       5,,       5,
"Language spoken most often at home","            Malecite",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Mi'kmaq",,       0,,       0,,       0,,       5,,       5,,       0,
"Language spoken most often at home","          Ojibway-Potawatomi languages",,      10,,       5,,      10,,    6305,,    3155,,    3145,
"Language spoken most often at home","            Algonquin",,       0,,       0,,       0,,       5,,       0,,       0,
"Language spoken most often at home","            Ojibway",,      15,,       5,,      10,,    3315,,    1695,,    1620,
"Language spoken most often at home","            Oji-Cree",,       0,,       0,,       0,,    2905,,    1420,,    1490,
"Language spoken most often at home","            Ottawa (Odawa)",,       0,,       0,,       0,,      75,,      40,,      35,
"Language spoken most often at home","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       0,
"Language spoken most often at home","        Athabaskan languages",,       0,,       0,,       0,,      20,,      10,,      10,
"Language spoken most often at home","          Northern Athabaskan languages",,       0,,       0,,       0,,      15,,      10,,      10,
"Language spoken most often at home","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
